aafa7613-d456-4171-8698-72ac4931fc8f
Facebook transfer uplink tput avg(all);N.A.
YouTube connection attempt;0
YouTube connection success;0
YouTube connection failed;0
YouTube connection disconnected;0
YouTube connection dropped;0
YouTube connection success rate;N.A.
YouTube connection cut-off rate;N.A.
YouTube transfer attempt;0
YouTube transfer success;0
YouTube transfer failed;0
YouTube transfer success rate;N.A.
YouTube transfer downlink tput avg(previous);N.A.
YouTube transfer downlink tput average(all);N.A.
Twitter connection attempt;0
Twitter connection success;0
Twitter connection failed;0
Twitter connection disconnected;0
Twitter connection dropped;0
Twitter connection success rate;N.A.
Twitter connection cut-off rate;N.A.
Twitter transfer attempt;0
Twitter transfer success;0
Twitter transfer failed;0
Twitter transfer success rate;N.A.
Twitter transfer downlink tput avg(previous);N.A.
Twitter transfer downlink tput average(all);N.A.
Twitter transfer uplink tput avg(previous);N.A.
Twitter transfer uplink tput avg(all);N.A.
Instagram connection attempt;0
Instagram connection success;0
Instagram connection failed;0
Instagram connection disconnected;0
Instagram connection dropped;0
Instagram connection success rate;N.A.
Instagram connection cut-off rate;N.A.
Instagram transfer attempt;0
Instagram transfer success;0
Instagram transfer failed;0
Instagram transfer success rate;N.A.
Instagram transfer downlink tput avg(previous);N.A.
Instagram transfer downlink tput average(all);N.A.
Instagram transfer uplink tput avg(previous);N.A.
Instagram transfer uplink tput avg(all);N.A.
LinkedIn connection attempt;0
LinkedIn connection success;0
LinkedIn connection failed;0
LinkedIn connection disconnected;0
LinkedIn connection dropped;0
LinkedIn connection success rate;N.A.
LinkedIn connection cut-off rate;N.A.
LinkedIn transfer attempt;0
LinkedIn transfer success;0
LinkedIn transfer failed;0
LinkedIn transfer success rate;N.A.
LinkedIn transfer downlink tput avg(previous);N.A.
LinkedIn transfer downlink tput average(all);N.A.
LinkedIn transfer uplink tput avg(previous);N.A.
LinkedIn transfer uplink tput avg(all);N.A.
Speedtest connection attempt;0
Speedtest connection success;0
Speedtest connection failed;0
Speedtest connection disconnected;0
Speedtest connection dropped;0
Speedtest connection success rate;N.A.
Speedtest connection cut-off rate;N.A.
Speedtest transfer attempt;0
Speedtest transfer success;0
Speedtest transfer failed;0
Speedtest transfer success rate;N.A.
Speedtest transfer downlink tput (previous);N.A.
Speedtest transfer downlink tput (average);N.A.
Speedtest transfer uplink tput (previous);N.A.
Speedtest transfer uplink tput (average);N.A.
Speedtest RTT min;N.A.
Speedtest RTT max;N.A.
Speedtest RTT avg;N.A.
E-mail connection attempt;0
E-mail connection success;0
E-mail connection failed;0
E-mail connection success rate;N.A.
E-mail send attempt;0
E-mail send success;0
E-mail send failed;0
E-mail send success rate;N.A.
E-mail receiving attempt;0
E-mail receiving success;0
E-mail receiving failed;0
E-mail receiving success rate;N.A.
GSM to UMTS handover;0
UMTS to GSM handover;0
GSM to UMTS cell CREL during data;0
UMTS to GSM CREL during data;0
GSM to UMTS CREL while idle;0
UMTS to GSM CREL while idle;0
GSM intrasystem handover;0
UMTS intrasystem handover;0
GSM intrasystem cell reselection during data;0
UMTS intrasystem cell reselection during data;0
GSM intrasystem cell reselection while idle;0
UMTS intrasystem cell reselection while idle;0
EC/N0 max;N.A.
EC/N0 min;N.A.
EC/N0 avg;N.A.
RSCP max;N.A.
RSCP min;N.A.
RSCP avg;N.A.
RSRP max;-75.000000
RSRP min;-81.562500
RSRP avg;-77.291321
RSRQ max;-5.500000
RSRQ min;-7.750000
RSRQ avg;-6.073611
RX Level max;N.A.
RX Level min;N.A.
RX Level avg;N.A.
RX Quality max;N.A.
RX Quality min;N.A.
RX Quality avg;N.A.
C/I max;N.A.
C/I min;N.A.
C/I avg;N.A.
App Tput UL max;N.A.
App Tput UL avg;N.A.
App Tput DL max;N.A.
App Tput DL avg;N.A.
CDMA Ec/I0 max;N.A.
CDMA Ec/I0 min;N.A.
CDMA Ec/I0 avg;N.A.
CDMA RSCP max;N.A.
CDMA RSCP min;N.A.
CDMA RSCP avg;N.A.
RSRP max;-75.000000
RSRP min;-81.562500
RSRP avg;-77.291321
RSRQ max;-5.500000
RSRQ min;-7.750000
RSRQ avg;-6.073611
App Tput UL max;N.A.
App Tput UL avg;N.A.
App Tput DL max;N.A.
App Tput DL avg;N.A.
